,text,label
11,"The G20 Digital Museum - Culture Corridor was held at the venue of the G20 Leaders’ Summit at Bharat Mandapam, New Delhi. This Digital Museum paid homage to a range of cultural heritage from the G20 nations and invitee countries. 

#G20India #G20Culture #CultureUnitesAll",Negative
12,"Here’s Indonesia's submission to the G20 Digital Museum that captures the country's rich cultural and natural heritage.

#G20India #G20Culture #CultureUnitesAll",Positive
13,"📨Check out the latest edition of #IIASAAnalyst newsletter:  

🌐IIASA contributes to the #G20 on #multilateralism reforms
🔥Creating a platform for disaster management
🌱Employing #AI in the transition to healthy soils
💡& more!

Read it here ➡️ mailchi.mp/iiasa/iiasa-analy…",Negative criticism
14,"The #G20—collectively accounting for 85 percent of the world’s #GDP and two-thirds of its #population—could play a critical role in shaping the global #digitalhealth landscape, mention @Varunkaul22 & @asarma2710 or-f.org/130395",Positive
15,"Deputy Chief of Mission Majid Alnekhailawi participated in the #Act4Earth National Dialogue, hosted by @teriin, where he delivered a speech on 'Road to Dubai: From #G20 to #COP28'",Positive
16,"His brilliant direction of India’s engagement with the world has pitched us to the top of the table. It is @DrSJaishankar’s skilled diplomacy that has pulled off India’s sterling leadership of the G-20, this past year. He’s deftly defused the stand-off with Canada even as he has carefully navigated India’s stance on Ukraine and Israel to keep us out of harm’s way.
Undeniably India’s EAM is one of the world’s most unbeatable diplomats!
Was a privilege to have had a conversation with him today.",Positive
17,"Arti Ahuja, EWG, Co-Chair, Secretary of Ministry of Labour and employment addressed the Handover of the G20 EWG from India to Brazil on 7th November 2023.

#ILO #G20Summit2023 #EWG",Negative
18,G20 Employment Working Group Handover 2023 meeting wrapped up successfully under the India #G20 Presidency at Geneva with a commitment to work with Brazil to promote #Employment opportunities to build a prosperous #future for all.,Positive
19,"#B20India recommends action points to enhance opportunity for women in STEM fields across G20 countries.
Access the communique to read the recommendations, in detail >> b20india2023.org/b20Document
Stay tuned #B20India
#B20India #G20India2023
#B20India2023 #B20GlobalDialogue
#G20India #G20 #B20
@g20org @Der_BDI @UIAok @keidanren @Confindustria @KADIN_Indonesia @The_AiGroup @CdnChamberofCom @BusinessEurope @MEDEF_I @KOISRA @USChamber @TUSIAD @BusinessatOECD @harshvshringla @amitabhk87",Negative criticism
20,"Even G20 was the topic of one of the exhibition - if even primary section kids are finding G20, ISRO and ShriRam Temple - 3 biggest of achievements of @narendramodi govt inspirational, one wonders abt the overall impact on psyche of commoners in general.",Negative criticism
21,"Great discussion today with COP28UAE leaders and CII Climate Council today. 

Highlighted Hon’ble PM ⁦@narendramodi⁩ ji’s efforts to take India to NZ2070 and importance of G20 Delhi Declaration in driving climate finance. 

⁦@FollowCII⁩ 
⁦@COP28_UAE⁩",Positive
22,"When the #WorldBank President came to India for #G20, he said:

What India has achieved in terms of digital penetration and technology in 6 years could not have been achieved in 47 years. 

This is reflective of the mood of the nation! #MayoCollegeGirlsSchool",Negative criticism
23,"The #NewDelhi Declaration’s #policy commitments in the #health sector emphasise the role of the #G20 in revising the existing financial and global #health governance discussions, note @SanjayPattansh1, Aniruddha Inamdar, Kiran Bhatt & @helmut_brand or-f.org/130656",Positive
24,"The new G20/OECD Corporate Governance Principles - launched last month - help companies access finance via capital markets, boost #sustainability disclosure, and protect investors. The 2023 Factbook tracks their implementation across 49 countries➡️bit.ly/3u4EFxc.",Positive
25,"In a post-#COVID world that has witnessed critical #supplychain disruption, the #G20 Generic Mapping Framework for #GVCs proposes coordination and preparedness to limit future disruption of value chains, writes @UrviTembey or-f.org/128705",Negative criticism
26,"The real challenge is to translate the call for #climate cooperation iterated at the #G20Summit in New Delhi into deeds given the divergent development status of the #G20 countries, state Lydia Powell, Akhilesh Sati, Vinod Kumar Tomar or-f.org/129340",Negative criticism
27,"Acknowledging the potential and risks associated with #stablecoins, the #G20 nations and international organisations are adopting a proactive approach to #regulating stablecoins, explains Sauradeep Bag or-f.org/128182",Negative criticism
28,"Under #India’s leadership during the #G20 presidency, the focus has shifted from mere women’s development to #women-led #development, writes @soumyabh_swears or-f.org/129557",Positive
29,"Visit to ruins of Nalanda is an experience of pride. Great scholarship that attracted global seekers, not only in philosophy and spirituality but also in metallurgy (iron smelting unit).PM @narendramodi brought this rich legacy of Nalanda to forefront during G20 summit.",Positive
30,"From the Archive: A half-dozen sports sedans under $25,000—@Acura Vigor, @Audi 80, @InfinitiUSA G20, @Mitsucars Galant, @NissanUSA Maxima, and @Subaru_usa Legacy—undergo our own New York marathon. crdrv.co/obaxjqL",Negative criticism
31,"As reliable partners in #GlobalValueChains, #India and other #G20 countries play a key role in shaping the discourse around creating robust #valuechains, notes @UrviTembey or-f.org/128705",Positive
32,"The #G20—collectively accounting for 85 percent of the world’s #GDP and two-thirds of its #population—could play a critical role in shaping the global #digitalhealth landscape, mention @Varunkaul22 & @asarma2710 or-f.org/130395",Positive
33,"Minister Mauro Vieira hosted a meeting with the President of the Inter-American Development Bank, Ilan Goldfajn, on the sidelines of the 6th Brazil Investment Forum. They discussed IDB’s participation in 🇧🇷’s #G20 presidency, starting on December 1st. @bidbr",Positive
34,"We stand ready to work alongside our fellow G20 members and the new Troika, as well as with the African Union, to create a brighter and more inclusive future for all.

Thank you.""",Positive
35,"South Africa is committed to playing a constructive and inclusive role within the G20 during our presidency, addressing the pressing issues of our time with innovation, integrity, and a spirit of collaboration.",Positive
36,"We would also like to express our heartfelt gratitude to the G20 for the trust and confidence shown in South Africa, as we prepare to take up the presidency in 2025.",Positive
37,"We are committed to playing a constructive and inclusive role within the G20, using our position to amplify the voices of marginalised groups and advocate for equitable and sustainable solutions.",Positive
38,"Brazil has a rich history of engagement in the G20 and multilateralism, and we have every confidence that it will lead with wisdom, vision, and commitment, further strengthening the G20's role as a catalyst for global cooperation.",Positive
39,"Under India’s capable leadership, the G20 has made significant strides in addressing the global challenges of our time.",Positive
40,"The Minister also delivered a statement on behalf of the Republic of South Africa at the event where the outgoing Indian Presidency of the G20 countries handed over the reins to Brazil for the incoming year, 2024.",Positive
41,"Permanent membership at #G20 will surely bring #Africa some much-needed political & economic clout. Now, #AfricanUnion must utilise this opportunity to lead Africa towards a better & more prosperous future, opines Samir Bhattacharya or-f.org/128789",Positive
42,"Policy Brief by Pami Dua & Divya Tuteja examines role of #policy, domestic and external factors in building resilience to external shocks in #G20 economies. or-f.org/129046",Positive
43,"The #G20 needs to push further for developed countries to shift from a ‘rule-setting’ role to actively financing the #GlobalSouth’s push to reach better levels of #environmental compliance, argues @soumyabh_swears or-f.org/128833",Negative criticism
44,"Was great to speak at @teriin's National Dialogue on 'Road to Dubai: From #G20 to #COP28' 
It's increasingly clear  that #climatefinance will be central to  #cop28uae & developed and developing nations will need to bridge their sharpest-ever differences for any equitable outcomes",Negative criticism
45,"The G7/G20 Advocacy Alliance collaborates to shape the #G20 Summit's agenda.

This year, we partnered with @MSHHealthImpact to lead the Alliance's Sustainable Finance team.

Find out how our recommendations did in the joint declaration ⬇️
interaction.org/blog/did-the…",Negative criticism
46,"Making the best use of #Biofortification, What can #G20 do in this and why a large initiative is needed, writes @KRavisrinivas or-f.org/129832",Positive criticism
47,"Ambassadors of G20 & invited countries and representatives of international organisations participated in an event hosted by EAM @DrSJaishankar in Yashobhoomi to mark India’s successful #G20 Presidency and Leaders’ Summit. #G20India

📹 Watch highlights",Negative
48,"Two years since the G20 pledged to allocate $100 billion in Special Drawing Rights to struggling nations, less than one percent has found its way there. ⚠️

@Bernat_Camps & @MarkWPlant look at what's slowing things down 👇 🔗 #EconTwitter
bit.ly/3Sho2IF",Negative criticism
49,This policy brief calls for a #G20 Women's Parliamentarian Group to tackle deep data-deficits and gender intelligent policies to address #multidimensional #gender #inequalities. or-f.org/129848,Positive
50,"The G20 Digital Museum - Culture Corridor was held at the venue of the G20 Leaders’ Summit at Bharat Mandapam, New Delhi. This Digital Museum paid homage to a range of cultural heritage from the G20 nations and invitee countries.

#G20India #G20Culture #CultureUnitesAll",Negative
51,"Witness India’s submission for the G20 Digital Museum - Kumbh Mela, Vedic Chanting, Ikat, Yoga & lost wax casting method along with picturesque views of the Ganga river, the Himalayas & Living Root Bridges. 

#G20India #G20Culture #CultureUnitesAll",Negative
52,"#G20 pledged to phase out #fossilfuel subsidies, but they reached a record US$1 trillion in 2022. It's time to prioritise & reform public support for fossil fuels to level playing field for renewables & accelerate transition to a #sustainable future or-f.org/126969",Negative criticism
53,#G20 solutions to tackle Global #Financial #Inclusion challenges: an Open and Standardised API for Cross-Border Payments will be introduced in the G20 roadmap of cross-border payment enhancement or-f.org/126977,Positive
54,"As #India hands over the G20 Presidency to Brazil, ORF-GHS report ""Empowering the #GlobalSouth: #G20 Presidencies of Key Emerging Economies in a Shifting World Order"" discusses the crucial role of the Double Troika in promoting the Global South's agenda. or-f.org/130623",Positive
55,"👉 ""Restoring democracy in Venezuela or his proposed G-20 agenda on hunger, climate change and sustainable debt are all areas that are more likely to win Lula the Nobel Peace Prize he wants more than his faulty understanding of the Ukraine conflict."" worldpoliticsreview.com/lula…",Positive
56,"@NITIAayog to organise workshop on Nari Shakti: Towards Women-led Development as mentioned in the G20 New Delhi Leaders’ Declaration

@PIB_India @MIB_India

More :pib.gov.in/PressReleasePage.…",Negative criticism
57,"EAM S. Jaishankar hosts Ambassadors of G20 member countries, guest countries & international organisations in Delhi
newsonair.gov.in/News?title=…",Positive
58,"As #India hands over the G20 Presidency to Brazil, ORF-GHS report ""Empowering the #GlobalSouth: #G20 Presidencies of Key Emerging Economies in a Shifting World Order"" discusses the crucial role of the Double Troika in promoting the Global South's agenda. or-f.org/130623",Positive
59,"EAM Jaishankar hosts G20 ambassadors at Yashobhoomi convention centre

Read @ANI Story | aninews.in/news/world/asia/e…
#sjaishankar #India #g20india",Negative
60,"The real challenge is to translate the call for #climate cooperation iterated at the #G20Summit in New Delhi into deeds given the divergent development status of the #G20 countries, state Lydia Powell, Akhilesh Sati, Vinod Kumar Tomar or-f.org/129340",Negative criticism
61,"The Panel Discussion on 'Road to Dubai: From #G20 to #COP28' was moderated by @ambmanjeevpuri, Distinguished Fellow, TERI.",Positive
62,"Greatly appreciate the tremendous support from all the Ambassadors and the Head of Missions throughout India's G20 Presidency this year. Right from the first meeting in Andaman & Nicobar Islands to the New Delhi Leaders' Summit,  their support has been phenomenal. Indeed a collective success fo us all! Thanks @DrSJaishankar for hosting all #G20, invitee country Ambassadors & heads of international organisations.",Positive
63,"#India’s presidency of the #G20 is an opportunity to promote the #GlobalSouth's #development narratives and leverage its status as the world's fastest-growing major #economy to drive the G20's agenda, notes @soumyabh_swears or-f.org/128689",Positive
64,"External Affairs Minister @DrSJaishankar hosted Ambassadors of G20 member countries, guest countries and international organisations at Yashobhoomi Convention Centre in Delhi. 

He thanked them for their support during India's #G20 Presidency. Dr Jaishankar said that just like India's G20 Presidency, this state-of-the-art convention and expo centre reflects the capabilities of the nation. 

He expressed confidence that it will be a great venue for prestigious international events in the times to come.

@g20org | @G20_Bharat | #G20Summit2023",Positive
65,"With commitment, collaboration, and a comprehensive approach, the #G20 has the capacity to guide us toward a future where #mentalhealth occupies a central place in global priorities, say @SavyDsouza, @JestinaRachel, @SanjayPattansh1, @oommen or-f.org/128744",Positive
66,"From trust deficit to trust management, #G20 New Delhi Leaders’ Declaration brings ideas, ideologies & individuals on a single platform. Given the state of geopolitics 2023, this is a big achievement & model for successful multilateralism: @gchikermane or-f.org/128741",Positive
67,"#India’s revolutionary leaps in financial inclusion has led it to the paradigm of #women-led development, which can become the defining mantra of this age. #G20 must pick up the baton & keep pushing for it, says @sunaina_kumar or-f.org/128784",Positive
68,"Delighted to host Ambassadors of G20 members, guest countries and international organisations at Yashobhoomi convention centre today. 

Thanked them for their whole-hearted support during our Presidency. 

Like our G20 Presidency, this state-of-the-art convention and expo centre reflects the capabilities of Bharat. 

Confident it will be a great venue for prestigious international events in the times to come.",Positive
69,"Once the pomp, ceremony & rhetoric have been removed, #AfricanUnion needs to evaluate its readiness to assume greater responsibilities at the global level & analyse how it can optimise its #G20 membership to benefit #Africa: Samir Bhattacharya or-f.org/128789",Negative criticism
70,"Under #India’s leadership during the #G20 presidency, the focus has shifted from mere women’s development to #women-led #development, writes @soumyabh_swears or-f.org/129557",Positive
71,"#B20India suggests creating a framework and actions points for G20 nations, to ensure equitable financial services and consumer protection for all. 
Access the communique to read the recommendations, in detail >> b20india2023.org/b20Document
Stay tuned #B20India
#B20India #G20India2023
#B20India2023 #B20GlobalDialogue
#G20India #G20 #B20
@g20org @Der_BDI @UIAok @keidanren @Confindustria @KADIN_Indonesia @The_AiGroup @CdnChamberofCom @BusinessEurope @MEDEF_I @KOISRA @USChamber @TUSIAD @BusinessatOECD @harshvshringla @amitabhk87",Negative criticism
72,"FM addresses  G20 Webinar on ‘Strong, Sustainable, Balanced and Inclusive Growth’ in New Delhi kamalsandesh.org/news/fm-add…",Positive
73,"The #G20’s focus towards Small Island Developing States needs to be two-pronged, with an emphasis on #debt governance and #climatefinance, posits @soumyabh_swears or-f.org/128833",Negative criticism
74,"In a post-#COVID world that has witnessed critical #supplychain disruption, the #G20 Generic Mapping Framework for #GVCs proposes coordination and preparedness to limit future disruption of value chains, writes @UrviTembey or-f.org/128705",Negative criticism
75,"The prominence of the #G20 and #India’s pivotal role within it holds significant implications for #poverty alleviation, note @DrNilanjanG & @soumyabh_swears or-f.org/128927",Negative criticism
76,"#OPINION | Despite its evolving image with regard to its G20 presidency, India still postures itself as the ‘voice of the Global South’, not merely as an architect of the global agenda, writes Abhishank Mishra and Zahoor Dar
#modigovernment #G20Summit
telegraphindia.com/opinion/v…",Negative
77,"The G20 New Delhi Leaders' Declaration, under the theme 'Preparing for the Future of Work,' reaffirms the commitment to cultural heritage by recognizing its associated economic and societal value. This declaration serves as a clear testament to our collective belief in the power of culture and creativity to propel inclusive growth, sustainable development, and the creation of decent work: Ms @LilyPandeya, Joint Secretary, @MinOfCultureGoI at FICCI conference ‘Virasat – Mapping Creativity’.",Positive
78,"India's G20 Presidency has set a remarkable precedent for cultural diplomacy and cooperation, emphasizing the transformative power of culture in shaping an inclusive world: Ms @LilyPandeya, Joint Secretary, @MinOfCultureGoI at FICCI conference ‘Virasat – Mapping Creativity’.",Positive
79,"Through a combination of #digital transformation, financing, #sustainable agriculture, healthcare strengthening, and education, the #G20 nations show strong determination towards shaping a sustainable future: @soumyabh_swears or-f.org/128985",Positive
80,"2 vital publications
Cultural Tracker report & Shaping the Global Narrative for inclusive growth, focused on key issues of the G20 cultural track were released at the Virasat Mapping Creativity conference @ficci_india @MinOfCultureGoI @LilyPandeya @asadlalljee @unesconewdelhi",Positive
81,"The unique aspect of India's G20 Presidency was that each conference was held in a different location. This allowed visitors and guests from all over the world to experience India's diverse culture, heritage, traditions, food, textiles, and visual arts: Mr @SanjoyRoyTWA, Co-Chair, FICCI Tourism & Culture Committee and MD, Teamwork Arts at FICCI conference ‘Virasat – Mapping Creativity’.",Positive
82,"Priyanshu Mehta: Looking at the given timeline of the #G20 presidency, the spotlight is on #India, #Brazil & #SouthAfrica. Leveraging their collective resources, expertise, & influence, together can play a significant role in supporting #climate migrants. or-f.org/129681",Positive
83,"Themes of the panel discussions at the webinar include ‘Unlocking Trade for Growth’, ‘Preparing for the Future of Work’ and ‘Financial Inclusion and Productivity Gains through Digital Public Infrastructure for Strong and Sustainable Growth: The Way Forward’.

#G20
#G20India",Negative
84,"Finance Minister @nsitharaman addressed the #G20 Webinar on ‘Strong, Sustainable, Balanced and Inclusive Growth’, in New Delhi today.

#G20India",Positive
85,Opening the annual #Virasat Mapping Creativity conference @LilyPandeya @MinOfCultureGoI reports on the Culture track dialogue at Indias #G20 summit. @odishatourism @ficci_india @avidlearning @asadlalljee @teamworkarts,Positive
86,"#JammuAndKashmir  Likely To Host #MissWorld Pageant: Secy Tourism

Says 150 Major International Events Held Post G20 Meet

 kashmirobserver.net/2023/11/…",Positive
87,"📢Happening Soon!

TERI is organizing #Act4Earth National Dialogue on 'Road to Dubai: From #G20 to #COP28' to build perspectives on equitable outcomes for COP28 and enable stronger synergies between #SDGs and #ClimateAction.

For more👉bit.ly/3u43A3Y
#WSDS2024",Negative criticism
88,"The real challenge is to translate the call for #climate cooperation iterated at the #G20Summit in New Delhi into deeds given the divergent development status of the #G20 countries, state Lydia Powell, Akhilesh Sati, Vinod Kumar Tomar or-f.org/129340",Negative criticism
89,"India's G20 presidency was marked by significant achievements and initiatives that addressed a wide range of global challenges, writes Nadir Godrej, CMD, #GodrejIndustries
#G20Summit2023 #GlobalSouthSummit #IndiaG20Presidency #G20DigitalEconomy
fortuneindia.com/opinion/the…",Positive
90,"Under #India’s leadership during the #G20 presidency, the focus has shifted from mere women’s development to #women-led #development, writes @soumyabh_swears or-f.org/129557",Positive
91,"FM #NirmalaSitharaman said India should take the lead to integrate the outcomes of the #G20 Presidency into its policymaking & that momentum should be maintained on the policy guidance

(@gulveenaulakh_ reports)

livemint.com/news/india/inte…",Negative criticism
92,"Acknowledging the potential and risks associated with #stablecoins, the #G20 nations and international organisations are adopting a proactive approach to #regulating stablecoins, explains Sauradeep Bag or-f.org/128182",Negative criticism
93,"The #G20—collectively accounting for 85 percent of the world’s #GDP and two-thirds of its #population—could play a critical role in shaping the global #digitalhealth landscape, mention @Varunkaul22 & @asarma2710 or-f.org/130395",Positive
94,"The #G20—collectively accounting for 85 percent of the world’s #GDP and two-thirds of its #population—could play a critical role in shaping the global #digitalhealth landscape, mention @Varunkaul22 & @asarma2710 or-f.org/130395",Positive
95,"🌟 Empowering India's youth for a world of opportunities! 🚀 The G20 panel discussion held in New Delhi on ""Preparing for the Future of Work"", led by Shri Atul Kumar Tiwari, Secretary, MSDE, highlighted the critical role of identifying skill gaps in opening doors to employment, both at home and abroad. These gaps are the bridges to success! 🌏💼 

 📚🌐 The G20 panel's emphasis on using reference frameworks like ISCO, ESCO, and O*NET is a promising step. By aligning with international standards, we're building a foundation for a brighter future. Let's embrace skill development and global collaboration. 🤝🌎 #G20Panel #OECD #ILO #FutureOfWork",Positive
96,"The #G20 joint declaration is the face of how #India under PM #NarendraModi has united varying ideas, conflicting ideologies, and egotistic individuals, and brought them on to a single geopolitical platform. From @gchikermane or-f.org/128741",Positive
97,"In order to participate in a global forum like the #G20, the #AfricanUnion would need to hold unified viewpoints on economic and development concerns pertaining to the continent, explains Samir Bhattacharya or-f.org/128789",Positive
98,"🌊 Save the date for Professor Mark Dickson's Inaugural Lecture 'Sea change: our transgressing coast' 🌊

📅 Tuesday 28 November 6:30pm - 8:30pm 
📍 Physics Lecture Theatre 1. PLT1/303-G20. Science Centre

Reserve your free ticket below 👇
eventbrite.co.nz/e/sea-chang…",Negative criticism
99,"At the G20 Panel Discussion, Shri S Ramann, CMD, SIDBI, led a talk on Advancing Financial Inclusion, covering Credit Delivery System, SIDBI's digital loan process, and Fintech's role in DCS products. 

#SIDBIMSME #DigitalBankingUnit #BackingMSMEs #BuildingFuture #G20",Positive
100,"The critical task before the #G20 is to prevent a spate of sovereign #debt crises that will harm the international financial system and the #sustainabledevelopment agenda, notes @soumyabh_swears or-f.org/128833",Negative criticism
101,"King of Bhutan Jigme Khesar Namgyel Wangchuck, held discussions with #PMModi on the entire gamut of bilateral cooperation and regional and global issues of mutual interest. He commended the excellent organization of the recently concluded G20 Summit hosted by India, and forging consensus for constructive decisions and outcomes contained in the Delhi Declaration. He particularly appreciated India’s efforts in effectively integrating the interest and priorities of the countries in the Global South in the #G20 deliberations and outcome documents: MEA",Positive
102,"The #NewDelhi Declaration’s #policy commitments in the #health sector emphasise the role of the #G20 in revising the existing financial and global #health governance discussions, note @SanjayPattansh1, Aniruddha Inamdar, Kiran Bhatt & @helmut_brand or-f.org/130656",Positive
103,"This visit reflects Hon’ble Prime Minister's unique effort to bring on board state governments in augmenting foreign policy.

Be it the G20 summit or visits of foreign dignitaries, hosting them in state capitals gives us an unique opportunity to showcase Bharat’s diversity. 

2/2",Positive
104,"The #Indian #G20 presidency has placed #inclusivity at the forefront of its agenda, seeking to amplify public concerns within high-level discussions, highlight @DrNilanjanG & @soumyabh_swears or-f.org/128927",Negative criticism
105,"Prediction 4: By 2026, 50% of G20 members will experience monthly electricity rationing, turning energy-aware operations into either a competitive advantage or a major failure risk.

#IT leaders need to prepare for the future of electricity.

#GartnerSYM #CIO #Sustainability",Negative criticism
106,"As reliable partners in #GlobalValueChains, #India and other #G20 countries play a key role in shaping the discourse around creating robust #valuechains, notes @UrviTembey or-f.org/128705",Positive
107,"New reconstruction package ensuring heat for Ukrainians 🇺🇦

🇩🇰 is supporting with a EURO 40.2 million reconstruction package, providing e.g. 20 mobile heating boilers for the city of Mykolaiv and will fund repairs to its existing central heating system. 🔗via.ritzau.dk/pressemeddelel…",Negative criticism
108,".@T20org in partnership with @EmiratesPolicy, Think 28 (T28), @orfonline, @ORFAmerica, and ORF Middle East is delighted to announce 'From G20 to COP28: Energy, Climate and Growth' —  a unique event that will bring together policy experts to discuss & ideate solutions to issues expected to be at the forefront of deliberations at #COP28.

12 November | Abu Dhabi

Know more 👉shorturl.at/xEGLP",Negative criticism
109,"IIASA provided input to #G20 discussions on the future of multilateralism through 4 policy papers providing insight into the complexities of potential reforms of the #UN, climate finance, the @WHO and the @wto.
@g20org @UNSDSN 

➡️ iiasa.ac.at/news/nov-2023/ii…",Negative
110,Indian #MSMEs can immensely  benefit by having access to information. The #G20 panel by Department of Commerce discussed the  impact that the successful implementation of #JaipurCall4Action can have in integrating and creating opportunities for MSMEs in global trade. #TIMM,Positive
111,"Spoke at Pune Expo 2023 on exploring International Business Prospects for India. From global maritime to Medical Value Tourism hub, we're on track to become $5trillion economy. With AU becoming G20 member, business prospects of developing Indian industrial clusters in Africa rise",Positive
112,"#India & other developing countries now carefully balance the need to portray themselves as #climate apostles and climate victims in multilateral platforms such as the #G20, write Lydia Powell, Akhilesh Sati, Vinod Kumar Tomar or-f.org/129340",Negative criticism
113,"""Green hydrogen is the solution but water is a priority for the people as India is a water-stressed country. Discussions were held in G20 but in the Indian context, coal is different from other countries as most energy is produced from coal."" Mr. Manish Mishra, CCA, @TataSteelLtd",Negative criticism
114,"#Throwback B20 Summit India, when the world leaders came together with a common agenda on financial inclusion, at the plenary on 'Financial Inclusion for Economic Empowerment'.
Stay tuned #B20India
#B20India #G20India2023
#B20India2023 #B20GlobalDialogue
#G20India #G20 #B20
@g20org @Der_BDI @UIAok @keidanren @Confindustria @KADIN_Indonesia @The_AiGroup @CdnChamberofCom @BusinessEurope @MEDEF_I @KOISRA @USChamber @TUSIAD @BusinessatOECD @harshvshringla @amitabhk87",Negative criticism
115,"Keynote speech by 🇪🇺 Foreign Policy Chief @JosepBorrellF, incl on EU-Africa relations:

“We have to do more to be a partner of choice for Africa”

“EU strongly supported the AU membership of the G20”

“We are keepers of global & shared values”

#EUDiplomacy
@eu_eeas",Negative criticism
116,"GTSG WINTER EVENT🏆

🗓️ Friday, December 1.
🏟️ Firhill Stadium G20 7AL – Alan Rough Suite.
⏰ 7.30pm (Doors open 7pm).
📰 Full details - see story. 

#WeAreGlasgow🔴⚪️ 
glasgowtigers.co.uk/gtsg-win…",Negative
117,Flew into the beautiful Kempegowda International Airport in Bangalore from Geneva last week. The only counter to exchange money - for G20 delegates it said - had abysmally low rates. Is it Atithee Devo Bhava or Atithee Dollar Bhava? @MEAIndia #India #Inde,Negative criticism
118,"Looking forward to contributing to the Workshop on Nari Shakti: Towards Women-Led Development, as part of the G20 Think Tank Workshop Series. The event will be held on Wednesday, 8th November  2023 I Hosted by @NITIAayog",Positive
119,"IIT Roorkee at the ""G20 Standards Dialogue"" event, showcasing its commitment to strengthening stakeholder engagement and global standardization.

#G20StandardsDialogue #IITRoorkee #StakeholderEngagement #Standardization #AcademicInnovation #GlobalStandards #AcademicLeadership",Positive
120,"#G20 Think Tank workshop series.

Congratulations to GoI and @NITIAayog for leading efforts to translate #G20 New Delhi Leader's Declaration to action. UNDP is privileged to be a knowledge partner to @NITIAayog for the workshop on Accelerating Progress on #SDGs.",Positive
121,"One Earth 🌏 
All 17 Sustainable Development Goals (SDGs) that nations have committed to achieve by 2030 mirror the interconnectedness in value of life of Human, animal, plant and microorganisms.
#SustainableDevelopmentGoals #SDGs #G20 #LiFE
@NITIAayog @UNDP @UN @UNDP_India",Negative criticism
122,"Department of Commerce, leading a #G20 panel discussion on Unlocking Trade for Growth to effectively implement #JaipurCall4Action. @ITCnews, @GeM, @ONDC, @ICRIER will deliberate on how a #OneStopHub can better integrate #MSMEs in global trade. #TIMM",Positive
123,"#SaudiArabia has surpassed the #G20 nations to attain a ""leading"" rank in the Digital Regulatory Maturity Index.

#EKHNews_EN",Positive
124,"The urgency surrounding #suicide prevention necessitates united action, and the #G20 can serve as a catalyst for change in this critical endeavour, note @SavyDsouza, @JestinaRachel, @SanjayPattansh1, @oommen or-f.org/128744",Negative criticism
125,"Acknowledging the potential and risks associated with #stablecoins, the #G20 nations and international organisations are adopting a proactive approach to #regulating stablecoins, explains Sauradeep Bag or-f.org/128182",Negative criticism
126,"IIT Roorkee at the ""G20 Standards Dialogue"" event, showcasing its commitment to strengthening stakeholder engagement and global standardization.

#G20StandardsDialogue
#IITRoorkee
#StakeholderEngagement
#Standardization
#AcademicInnovation
#GlobalStandards
#AcademicLeadership",Positive
127,"How aligning global efforts to broaden access to scientific knowledge can foster the growth of science? 

Delve into the comprehensive dialogue conducted by G20-CSAR, featured in the October edition of the 'Vigyan Dhara' newsletter by @PrinSciAdvOff.

bit.ly/4780vOC",Negative
